"dbn","district","school","_2010_2011_overall_grade","_2010_2011_overall_score","_2010_2011_progress_category_score","_2010_2011_progress_grade","school_level"
"02M374","2","Gramercy Arts High School","C","56.2","33.8","C","High School"
"02M400","2","High School for Environmental Studies","B","63.1","29.4","C","High School"
"02M407","2","Institute for Collaborative Education","B","44.1","21.9","C","Middle"
"02M407","2","Institute for Collaborative Education","A","74.2","47.7","A","High School"
"02M408","2","Professional Performing Arts High School","B","50.5","29.3","B","Middle"
"02M408","2","Professional Performing Arts High School","B","62.6","37.8","B","High School"
"02M411","2","Baruch College Campus High School","A","75.6","45.2","A","High School"
"02M412","2","N.Y.C. Lab School for Collaborative Studies","A","75.7","38.8","B","High School"
"02M413","2","School of the Future High School","A","63.2","33.9","B","Middle"
"02M413","2","School of the Future High School","B","69.5","36.9","B","High School"
"02M414","2","N.Y.C. Museum School","A","78.3","48.1","A","High School"
"02M416","2","Eleanor Roosevelt High School","A","79.3","44.8","A","High School"
"02M418","2","Millennium High School","A","77.4","44.4","A","High School"
"02M419","2","Landmark High School","D","41.3","26.0","D","High School"
"02M420","2","High School for Health Professions and Human Services","B","59.8","34.7","C","High School"
"02M422","2","Quest to Learn","B","42.8","19.0","C","Middle"
"02M425","2","Leadership and Public Service High School","C","51.1","27.4","D","High School"
"02M429","2","Legacy School for Integrated Studies","F","38.5","19.3","F","High School"
"02M439","2","Manhattan Village Academy","A","99.0","58.3","A","High School"
"02M442","2","Ballet Tech, NYC Public School for Dance","B","56.2","28.6","B","K-8"
"02M449","2","Vanguard High School","B","62.5","29.1","C","High School"
"02M459","2","Manhattan International High School","B","64.8","39.7","B","High School"
"02M460","2","Washington Irving High School","F","38.9","28.0","D","High School"
"02M560","2","High School M560 - City As School","C","51.3","15.0","F","Transfer High School"
"02M475","2","Stuyvesant High School","A","71.4","40.5","B","High School"
"02M489","2","High School of Economics and Finance","B","68.1","33.3","C","High School"
"02M500","2","Unity Center for Urban Technologies","A","74.2","40.9","B","High School"
"02M519","2","Talent Unlimited High School","B","68.6","42.2","A","High School"
"02M520","2","Murry Bergtraum High School for Business Careers","D","44.4","26.2","D","High School"
"02M529","2","Jacqueline Kennedy Onassis High School","C","52.1","31.6","C","High School"
"02M531","2","Repertory Company High School for Theatre Arts","B","69.8","44.9","A","High School"
"02M542","2","Manhattan Bridges High School","A","90.4","55.7","A","High School"
"02M543","2","New Design High School","A","76.6","44.9","A","High School"
"02M544","2","Independence High School","C","46.3","24.6","D","Transfer High School"
"02M545","2","High School for Dual Language and Asian Studies","A","82.3","48.2","A","High School"
"02M550","2","Liberty High School Academy for Newcomers","A","79.4","44.8","A","Transfer High School"
"02M551","2","The Urban Assembly New York Harbor School","A","75.7","41.0","B","High School"
"02M565","2","Urban Academy Laboratory High School","B","64.8","31.3","C","Transfer High School"
"02M473","2","Washington Irving Yabc","B","60","32.5","B","YABC"
"02M570","2","Satellite Academy High School","A","70.9","32.3","C","Transfer High School"
"02M575","2","Manhattan Comprehensive Night and Day High School","B","67.4","32.4","C","Transfer High School"
"02M580","2","Richard R. Green High School of Teaching","C","47.8","26.4","D","High School"
"02M586","2","Harvey Milk High School","C","53.4","31.3","C","Transfer High School"
